,NPS,End_event_no,Particle_type,Start_x,Start_y,Start_z,End_x,End_y,End_z,Start_E,End_E,Start_T,End_T,Delta_ray_flag
0,1415.0,1.0,3.0,-1.2047,0.4021,-0.31199,0.074721,1.2678,0.54763,0.43872,0.43679,0.0019814,0.0089772,0.0
1,1415.0,3.0,3.0,-1.2047,0.40186,-0.31212,-0.086351,-1.2671,0.10779,0.032652,0.014029,0.0019817,0.02787,0.0
2,1415.0,5.0,3.0,-0.086375,-1.2671,0.10783,-0.14953,-1.2612,0.28834,0.01176,0.0096103,0.02787,0.031056,0.0
3,1415.0,7.0,3.0,-0.14953,-1.2612,0.28834,-0.2101,-1.2525,0.23901,0.0095004,0.0087681,0.031056,0.032474,0.0
4,1415.0,9.0,3.0,-0.039741,-0.63294,-0.15289,-0.039741,-0.63294,-0.15289,0.0010506,0.00099442,0.018949,0.018949,1.0
5,1524.0,1.0,3.0,-1.2665,-0.094674,0.18189,0.79251,0.99239,-3.7356,0.20745,0.19638,0.00093101,0.022556,0.0
6,1747.0,1.0,3.0,-1.2449,0.25114,0.14449,0.20891,1.2527,2.7596,0.41662,0.4142,0.0011205,0.013731,0.0
7,2000.0,1.0,3.0,-0.37981,1.2119,0.52817,0.90632,0.88966,-0.46369,0.24886,0.24716,0.0056143,0.013077,0.0
8,2000.0,3.0,3.0,0.9129,0.8829,-0.4646,0.13673,-1.2626,0.088743,0.13643,0.13169,0.013149,0.025903,0.0
9,2609.0,1.0,3.0,-0.76558,1.0133,-9.933,-0.8365,-0.9556,-8.2084,0.49295,0.49061,0.03377,0.043916,0.0
10,2609.0,3.0,3.0,-0.82207,-0.55491,-8.5594,-0.78714,-0.56582,-8.5687,0.0029201,0.00081494,0.041851,0.043267,1.0
11,2862.0,1.0,3.0,-1.2345,0.29807,-0.29022,1.0643,-0.693,-2.2483,0.15209,0.14384,0.0015482,0.018183,0.0
12,2893.0,1.0,3.0,-1.2018,-0.41051,-3.2564,-0.094467,1.2665,-4.1007,0.045663,0.035016,0.011425,0.031668,0.0
13,3085.0,1.0,3.0,-1.2516,0.21522,0.046396,1.2497,0.22642,-0.017165,0.66973,0.66676,0.00090019,0.010158,0.0
14,3094.0,1.0,3.0,0.54465,1.1473,1.9515,-1.2673,-0.083244,1.874,0.040134,0.028244,0.01028,0.032197,0.0
15,3349.0,1.0,3.0,-1.2685,0.061987,0.065302,1.1627,0.51089,-1.1799,0.39967,0.39699,0.00055712,0.011713,0.0
16,3349.0,3.0,3.0,1.1506,0.53769,-1.2049,-1.1942,-0.43229,-1.3298,0.091059,0.086479,0.011935,0.028042,0.0
17,3349.0,5.0,3.0,-0.29953,-0.029653,-1.2773,-0.30069,-0.028173,-1.2802,0.0014907,0.00097562,0.021776,0.021943,1.0
18,3405.0,1.0,3.0,-1.2684,0.064229,-0.18844,1.2645,-0.11793,-0.94237,0.28949,0.28275,0.0011377,0.012617,0.0
19,3515.0,1.0,3.0,-1.2526,0.20957,5.4403,0.55154,1.144,5.9197,0.6222,0.62038,0.018219,0.02602,0.0
20,3621.0,1.0,3.0,-1.27,-0.0069516,0.071892,1.27,-0.010436,3.0335,0.61954,0.6168,0.00051379,0.015104,0.0
21,3621.0,3.0,3.0,0.08794,-0.0088146,1.6553,0.088809,-0.011709,1.6547,0.0012533,0.00096599,0.0083139,0.0084672,1.0
22,3880.0,1.0,3.0,-1.27,0.0099482,-0.011097,1.1451,-0.54913,0.72934,0.6184,0.61628,0.00044259,0.01012,0.0
23,4560.0,1.0,3.0,-1.2526,0.20951,-0.70609,0.64531,-1.0938,-2.0985,0.33622,0.33379,0.0025111,0.013763,0.0
24,4560.0,3.0,3.0,0.66016,-1.0849,-2.1095,-1.2579,-0.1746,1.7221,0.20258,0.19671,0.013871,0.034805,0.0
25,4881.0,1.0,3.0,-1.2683,-0.064814,-0.91431,0.25962,1.2432,-1.768,0.23819,0.23558,0.0032586,0.013225,0.0
26,4900.0,1.0,3.0,-1.0405,0.72817,2.4439,0.8934,0.90263,3.045,0.53553,0.53356,0.0086569,0.016426,0.0
27,4900.0,3.0,3.0,0.90252,0.8935,3.0892,-0.72697,-1.0414,7.1141,0.18776,0.17667,0.016716,0.040021,0.0
28,4900.0,5.0,3.0,-0.7242,-1.0433,7.1144,1.235,0.296,6.3201,0.15886,0.14761,0.040045,0.052956,0.0
29,5070.0,1.0,3.0,-1.2694,-0.039219,-0.098453,1.2697,0.026582,-2.3799,0.73297,0.72952,0.0005671,0.013058,0.0
30,5070.0,3.0,3.0,1.1358,0.023112,-2.2596,1.1327,0.024096,-2.2628,0.0014884,0.00098701,0.012399,0.012614,1.0
31,5083.0,1.0,3.0,-1.2692,0.045836,0.025189,-0.54923,1.1451,-0.54421,0.32017,0.31929,0.00056924,0.0066261,0.0
32,5083.0,3.0,3.0,-0.5347,1.152,-0.55363,0.29247,1.2359,-1.3728,0.21636,0.21497,0.0067181,0.012189,0.0
33,5262.0,1.0,3.0,-1.2582,-0.17307,0.17407,1.2375,0.28563,9.2337,0.25764,0.2458,0.00094581,0.043217,0.0
34,5262.0,3.0,3.0,1.2376,0.2849,9.2395,-0.30713,1.2323,11.538,0.21066,0.20722,0.043247,0.057075,0.0
35,5262.0,5.0,3.0,0.22722,0.35803,5.4325,0.22347,0.35803,5.4335,0.0018189,0.00095399,0.02546,0.02563,1.0
36,5950.0,1.0,3.0,0.9082,0.88773,0.5166,-0.17093,-1.2584,1.998,0.4236,0.41972,0.0085863,0.01983,0.0
37,6831.0,1.0,3.0,-1.082,0.66503,0.18684,0.28823,1.2369,1.0671,0.55995,0.5581,0.0025779,0.0091293,0.0
38,7126.0,1.0,3.0,-1.2639,0.12451,-0.14815,1.035,0.73592,-0.95155,0.6912,0.68916,0.000792,0.010045,0.0
39,7343.0,1.0,3.0,-1.2501,-0.2242,-0.44442,0.99551,-0.78858,-0.92254,0.14229,0.13745,0.0021437,0.014802,0.0
40,7941.0,1.0,3.0,-1.265,0.11232,0.0056384,1.1732,0.4864,-1.1746,0.5847,0.58069,0.00059738,0.010909,0.0
41,8052.0,1.0,3.0,0.35175,1.2203,1.1213,0.39656,-1.2065,4.2426,0.38377,0.37954,0.0080774,0.024144,0.0
42,8187.0,1.0,3.0,-1.2497,-0.22591,-0.43948,-0.57885,-1.1304,-1.7904,0.65309,0.63094,0.0017332,0.0082625,0.0
43,8187.0,3.0,3.0,-1.0799,-0.45496,-0.78158,-1.0805,-0.45373,-0.78262,0.0011448,0.00098764,0.0033867,0.003476,1.0
44,8286.0,1.0,3.0,-0.99663,0.78716,0.72714,1.1571,-0.52348,-0.010211,0.21397,0.20473,0.0039981,0.01635,0.0
45,8286.0,3.0,3.0,1.155,-0.52806,-0.021976,-1.197,-0.42441,-0.59411,0.091367,0.085602,0.016459,0.031886,0.0
46,8449.0,1.0,3.0,-1.2646,0.11702,-0.070778,0.51824,-1.1595,-3.2449,0.28631,0.28172,0.00065982,0.017424,0.0
47,8449.0,3.0,3.0,-0.005837,-0.78423,-2.3118,0.42246,-0.7954,-2.0652,0.012386,0.00099832,0.012496,0.022783,1.0
48,8666.0,1.0,3.0,-1.2608,-0.15276,-0.19974,0.93069,-0.86413,-2.132,0.43533,0.43163,0.0011146,0.013032,0.0
49,9218.0,1.0,3.0,-1.2598,0.16027,-0.20456,1.1911,0.44053,-1.8952,0.51909,0.51631,0.0010377,0.012527,0.0
50,9368.0,1.0,3.0,-0.86295,-0.93178,-0.56445,-0.53764,1.1506,-0.46811,0.44861,0.44681,0.0043089,0.012623,0.0
51,9503.0,1.0,3.0,-0.97124,-0.81829,-4.9031,1.2629,0.13416,-5.2954,0.32726,0.32467,0.016815,0.027167,0.0
52,9503.0,3.0,3.0,0.28891,-0.28106,-5.1244,0.28603,-0.28001,-5.1313,0.0014948,0.00094453,0.022654,0.023009,1.0
53,9560.0,1.0,3.0,-1.2698,0.024528,-0.052176,0.83901,-0.9534,-1.3211,0.63411,0.63111,0.00048473,0.010356,0.0
54,9717.0,1.0,3.0,-1.2652,-0.11,0.069461,1.1147,-0.6085,-0.0451,0.48882,0.48648,0.00071426,0.010161,0.0
55,10434.0,1.0,3.0,-1.2647,-0.11634,0.1348,1.2699,0.012441,1.4178,0.73714,0.73403,0.00075018,0.011147,0.0
56,10507.0,1.0,3.0,-1.2698,0.020679,-0.83125,0.35089,1.2206,-2.5211,0.51906,0.51596,0.002865,0.012972,0.0
57,10507.0,3.0,3.0,0.38093,1.2115,-2.544,0.21002,-0.62901,-16.5,0.35557,0.26039,0.013145,0.072521,0.0
58,10507.0,5.0,3.0,0.20777,-0.6256,-16.5,0.71573,1.0491,-15.327,0.11194,0.1088,0.072647,0.084948,0.0
59,10507.0,7.0,3.0,0.080325,-0.41969,-13.905,0.079324,-0.42055,-13.905,0.001248,0.00090529,0.060951,0.061015,1.0
60,10507.0,9.0,3.0,0.16935,0.30417,-8.5638,0.16935,0.30417,-8.5638,0.001018,0.00096385,0.038303,0.038303,1.0
61,10571.0,1.0,3.0,-1.2696,0.030215,-0.055968,0.48378,-1.1742,-1.1782,0.38687,0.38454,0.00065726,0.010414,0.0
62,10611.0,1.0,3.0,-1.2672,-0.084613,0.15641,-0.3248,-1.2278,1.8737,0.44889,0.44675,0.00077795,0.009715,0.0
63,10611.0,3.0,3.0,-0.30692,-1.2324,1.866,0.40844,1.2025,0.25214,0.3132,0.30789,0.0098582,0.022644,0.0
64,10611.0,5.0,3.0,-1.0075,-0.39964,0.62967,-1.0063,-0.42123,0.64806,0.0033555,0.00093219,0.0032408,0.0048146,1.0
65,10812.0,1.0,3.0,-1.2624,-0.13879,0.23118,0.64563,-1.0936,1.8267,0.46154,0.45853,0.0011427,0.011588,0.0
66,10812.0,3.0,3.0,-0.46969,-0.53549,0.89406,-0.47131,-0.53553,0.89626,0.0012711,0.00092445,0.005482,0.0056149,1.0
67,11041.0,1.0,3.0,-1.1944,-0.43164,3.5118,-0.29977,1.2341,5.6463,0.59678,0.59368,0.011868,0.022588,0.0
68,11041.0,3.0,3.0,-0.28444,1.2377,5.681,1.217,-0.36318,5.8023,0.40977,0.40816,0.022771,0.031585,0.0
69,11167.0,1.0,3.0,-1.2694,-0.040246,-0.0094575,1.1642,-0.50752,0.38981,0.45807,0.45411,0.000494,0.010348,0.0
70,11521.0,1.0,3.0,-1.2697,-0.02581,-0.11055,1.1341,0.57154,-0.15745,0.30748,0.3047,0.00058736,0.011166,0.0
71,11754.0,1.0,3.0,-1.2699,0.013192,0.030681,1.0196,0.75724,-0.054034,0.61115,0.60869,0.00046834,0.0094935,0.0
72,11754.0,3.0,3.0,1.0204,0.75605,-0.036337,0.18976,1.2557,0.38435,0.25571,0.25358,0.0097789,0.014507,0.0
73,11754.0,5.0,3.0,0.18783,1.256,0.38519,-1.2298,0.31709,0.061961,0.23661,0.23391,0.014518,0.022428,0.0
74,11875.0,1.0,3.0,-1.2542,-0.19949,-1.7669,1.2277,-0.32515,-4.9049,0.65034,0.64711,0.0059673,0.020836,0.0
75,11875.0,3.0,3.0,1.2237,-0.33969,-4.9187,-1.2448,-0.2518,-3.4693,0.30085,0.29834,0.021169,0.033463,0.0
76,12002.0,1.0,3.0,-1.267,0.086716,-0.073269,0.99212,0.79284,-2.357,0.57434,0.57184,0.00058526,0.013021,0.0
77,12080.0,1.0,3.0,-1.0789,0.67,-4.857,1.2023,0.40903,-6.0712,0.37885,0.37497,0.016477,0.02706,0.0
78,12550.0,1.0,3.0,-1.2549,-0.19526,-1.6317,0.9555,0.83662,-3.4646,0.17237,0.16851,0.0056911,0.02102,0.0
79,12550.0,3.0,3.0,0.96055,0.83081,-3.4687,1.1042,0.62743,-3.4276,0.076752,0.076015,0.021089,0.022793,0.0
80,12550.0,5.0,3.0,1.1047,0.62658,-3.428,-1.161,0.51472,-4.4239,0.066432,0.061195,0.022801,0.040853,0.0
81,12550.0,7.0,3.0,-0.79057,0.5503,-4.3012,-0.79067,0.54981,-4.3048,0.0011511,0.00098983,0.037971,0.038156,1.0
82,12554.0,1.0,3.0,-1.1832,0.46154,0.46056,1.2567,-0.1834,1.7345,0.15441,0.15096,0.0024022,0.017125,0.0
83,12554.0,3.0,3.0,0.94877,-0.10201,1.5738,0.94877,-0.10201,1.5738,0.0010341,0.00099966,0.015267,0.015267,1.0
84,12783.0,1.0,3.0,-1.2699,-0.018805,-0.090867,1.2597,0.16134,-2.112,0.69199,0.68592,0.00054069,0.012489,0.0
85,12783.0,3.0,3.0,1.2618,0.14415,-2.13,0.070795,-1.268,-3.1266,0.57631,0.57388,0.012597,0.02053,0.0
86,12783.0,5.0,3.0,0.87944,0.13426,-1.8082,0.88949,0.13286,-1.7974,0.0021001,0.00099819,0.010693,0.011306,1.0
87,13038.0,1.0,3.0,-1.2694,0.038235,0.028998,0.91257,-0.88324,5.8076,0.30151,0.29599,0.00058194,0.027376,0.0
88,13038.0,3.0,3.0,-1.2623,0.035211,0.047961,-1.254,0.032959,0.04506,0.0016928,0.00086461,0.00066987,0.001184,1.0
89,13099.0,1.0,3.0,-0.032711,-1.2696,2.4188,-0.5833,1.1281,1.8278,0.14298,0.13918,0.010341,0.023865,0.0
90,13099.0,3.0,3.0,-0.046101,-1.2113,2.4044,-0.055513,-1.2154,2.3939,0.0021176,0.00076786,0.01067,0.011304,1.0
91,13315.0,1.0,3.0,-1.2672,0.084086,-0.00030242,1.1992,0.41808,-0.83613,0.52256,0.51951,0.00056492,0.01064,0.0
92,13708.0,1.0,3.0,-0.8777,-0.9179,-0.24574,0.67632,-1.0749,0.14237,0.66843,0.66575,0.0036496,0.0096062,0.0
93,13708.0,3.0,3.0,0.66822,-1.08,0.085762,-1.0869,0.65688,-0.15879,0.29175,0.28941,0.0099838,0.020716,0.0
94,14539.0,1.0,3.0,-0.74446,1.0289,-8.8544,1.0928,-0.64702,-13.726,0.20335,0.19429,0.030077,0.05622,0.0
95,14539.0,3.0,3.0,0.063681,0.27903,-11.022,0.11835,0.13864,-11.09,0.00735,0.0009908,0.041686,0.047562,1.0
96,14714.0,1.0,3.0,-1.261,0.15108,0.14079,1.0392,-0.73006,1.3517,0.40561,0.4025,0.0009881,0.012016,0.0
97,14744.0,1.0,3.0,-1.2694,-0.040521,-0.0058121,0.52694,-1.1555,-0.9062,0.31642,0.31315,0.00046288,0.010209,0.0
98,14878.0,1.0,3.0,-1.1605,0.51598,-0.076804,0.18484,1.2565,-0.42478,0.61995,0.61835,0.0019367,0.0078241,0.0
99,14958.0,1.0,3.0,-1.0142,-0.76444,-0.13027,1.2696,-0.03265,-0.3227,0.11957,0.11629,0.0031116,0.01682,0.0
100,15020.0,1.0,3.0,-1.27,-0.0088726,-0.035159,-0.36917,1.2152,-2.2619,0.26834,0.26175,0.00051543,0.012426,0.0
101,15020.0,3.0,3.0,-0.366,1.2161,-2.2667,0.96946,-0.82039,-0.84919,0.22202,0.21928,0.012457,0.025567,0.0
102,15437.0,1.0,3.0,-1.2674,0.080607,-0.1326,0.56926,1.1353,0.1745,0.24499,0.24314,0.00076273,0.010449,0.0
103,15437.0,3.0,3.0,-0.19108,0.69867,0.047369,-0.18971,0.69733,0.050726,0.0015118,0.00099459,0.0064394,0.0066601,1.0
104,15559.0,1.0,3.0,-1.1965,-0.42567,-1.2459,0.89728,0.89877,-2.121,0.4786,0.468,0.0045915,0.014826,0.0
105,16146.0,1.0,3.0,-0.72658,1.0416,0.36683,0.86899,0.92615,0.35805,0.13134,0.12695,0.0043486,0.013156,0.0
106,16156.0,1.0,3.0,-1.2292,-0.31943,-0.14275,0.28415,1.2378,-2.3757,0.54958,0.54639,0.0013154,0.013172,0.0
107,16610.0,1.0,3.0,-1.2695,0.037254,-0.029649,-1.0693,0.68518,-0.33552,0.63876,0.63802,0.00047031,0.0032404,0.0
108,16610.0,3.0,3.0,-1.0434,0.72409,-0.35721,1.2048,-0.4017,1.0262,0.19293,0.18928,0.0035208,0.017439,0.0
109,16610.0,5.0,3.0,1.1478,-0.37316,0.99107,1.1545,-0.37356,0.98295,0.0016033,0.0009314,0.017086,0.017593,1.0
110,16913.0,1.0,3.0,-1.2636,0.1276,-0.045355,-0.53199,1.1532,0.26073,0.60287,0.60186,0.00066219,0.005529,0.0
111,17151.0,1.0,3.0,-1.2649,0.11335,-0.098019,0.88346,0.91236,-1.7441,0.33288,0.32834,0.0008623,0.012691,0.0
112,18046.0,1.0,3.0,-1.2209,0.34962,-0.38368,1.2106,-0.38379,0.56326,0.18965,0.18646,0.0018857,0.015101,0.0
113,18046.0,3.0,3.0,0.70136,-0.23018,0.36493,0.72229,-0.1796,0.40154,0.0043332,0.00099017,0.012333,0.014478,1.0
114,18103.0,1.0,3.0,-1.2684,-0.063531,-0.60492,1.2177,-0.36084,-2.6758,0.49278,0.4901,0.0020974,0.01469,0.0
115,18298.0,1.0,3.0,-1.2659,-0.10255,-0.09064,1.031,-0.74161,-1.6252,0.2613,0.25739,0.00077472,0.013388,0.0
116,18298.0,3.0,3.0,0.057095,-0.47064,-0.97453,0.057423,-0.51924,-0.9322,0.0044657,0.00095643,0.0080398,0.010928,1.0
117,18388.0,1.0,3.0,-0.94597,-0.84737,0.010902,1.0927,-0.64726,0.20336,0.48847,0.48641,0.0032887,0.011274,0.0
118,18388.0,3.0,3.0,1.117,-0.60437,0.19548,-0.97833,-0.8098,0.38155,0.15894,0.15521,0.011575,0.022476,0.0
119,18410.0,1.0,3.0,-1.2696,-0.0326,-0.15661,0.32822,-1.2269,-0.87452,0.48986,0.48768,0.00070094,0.0089254,0.0
120,18410.0,3.0,3.0,0.31834,-1.2295,-0.8846,-1.1409,-0.55797,-1.8831,0.082088,0.077573,0.009048,0.021532,0.0
121,18539.0,1.0,3.0,-1.2629,0.13398,0.07366,1.1207,-0.59737,0.15008,0.31956,0.31739,0.00078301,0.011338,0.0
122,18539.0,3.0,3.0,1.12,-0.59883,0.13492,-0.71147,-1.052,-0.54904,0.058921,0.051996,0.011547,0.027021,0.0
123,18539.0,5.0,3.0,0.1134,-0.89256,-0.24738,0.11246,-0.89277,-0.24523,0.0011053,0.00090941,0.020065,0.020186,1.0
124,18539.0,7.0,3.0,-1.0041,0.054578,0.081956,-1.0042,0.05417,0.0824,0.0011718,0.0009874,0.0019289,0.001959,1.0
125,18657.0,1.0,3.0,-1.27,0.0092814,0.072236,0.43412,-1.1935,2.0166,0.34311,0.33905,0.00081973,0.01269,0.0
126,18657.0,3.0,3.0,-0.85988,-0.28017,0.54014,-0.9543,-0.61109,0.42101,0.0094893,0.00083466,0.0036764,0.012676,1.0
127,18657.0,5.0,3.0,-0.88998,-0.4795,0.49322,-0.89651,-0.49765,0.4982,0.0022234,0.00072018,0.0078633,0.0087523,1.0
128,18699.0,1.0,3.0,-1.1246,-0.59003,3.0742,-0.70723,-1.0549,3.3342,0.2812,0.27629,0.010628,0.013582,0.0
129,18699.0,3.0,3.0,-0.70343,-1.0574,3.337,0.15901,-1.26,3.8795,0.24312,0.24219,0.013606,0.018318,0.0
130,18699.0,5.0,3.0,0.16385,-1.2594,3.8856,0.40694,1.203,8.1723,0.20111,0.19456,0.018357,0.042062,0.0
131,18699.0,7.0,3.0,-0.4086,-1.1267,3.5225,-0.30066,-0.79292,3.7938,0.011241,0.00098201,0.015217,0.025038,1.0
132,18699.0,9.0,3.0,-0.35081,-0.85645,3.7015,-0.33723,-0.84808,3.6745,0.002676,0.00093925,0.021245,0.022652,1.0
133,18776.0,1.0,3.0,-1.2073,-0.39401,0.011273,0.087008,-1.267,-0.13126,0.61835,0.61708,0.0014903,0.0073543,0.0
134,19583.0,1.0,3.0,-1.2608,0.15262,-0.45539,0.47775,-1.1767,-3.1334,0.32256,0.31825,0.0017722,0.016374,0.0
135,19583.0,3.0,3.0,0.47923,-1.1761,-3.1353,1.2571,-0.18088,-4.0972,0.30949,0.30789,0.016386,0.023155,0.0
136,19995.0,1.0,3.0,-1.0002,-0.78265,-0.61835,0.39291,1.2077,-0.27788,0.29399,0.29055,0.0037318,0.014322,0.0
137,19995.0,3.0,3.0,-0.4763,-0.034181,-0.49031,-0.65057,0.060661,-0.58004,0.0091501,0.00095311,0.0077143,0.013899,1.0
138,19995.0,5.0,3.0,-0.6035,0.066444,-0.56557,-0.60981,0.070719,-0.55793,0.0015331,0.00094535,0.011956,0.012474,1.0
139,20223.0,1.0,3.0,-1.1331,0.57361,-1.4124,0.68838,1.0673,-5.2469,0.58974,0.5646,0.0051871,0.021282,0.0
140,20223.0,3.0,3.0,0.7023,1.0581,-5.2766,1.261,0.15098,-6.5162,0.44317,0.44102,0.021423,0.027879,0.0
141,20223.0,5.0,3.0,1.1612,0.31309,-6.2947,1.1617,0.31311,-6.2945,0.00106,0.00099668,0.026725,0.026752,1.0
142,20335.0,1.0,3.0,0.0099394,-1.27,-3.3251,1.22,0.353,-7.264,0.45534,0.44965,0.012839,0.030244,0.0
143,20335.0,3.0,3.0,1.2193,0.35525,-7.2729,-0.59242,-1.1234,-13.883,0.38957,0.37867,0.030282,0.058687,0.0
144,20335.0,5.0,3.0,-0.59604,-1.1214,-13.87,1.27,0.002164,-12.897,0.22158,0.20251,0.058848,0.069955,0.0
145,20335.0,7.0,3.0,0.54468,-0.55273,-5.0659,0.59148,-0.66303,-5.1062,0.0052186,0.00098168,0.020531,0.024453,1.0
146,20575.0,1.0,3.0,-1.182,0.46464,-0.041325,0.48133,1.1753,-1.0689,0.48106,0.47687,0.0017311,0.0098266,0.0
147,20618.0,1.0,3.0,0.41142,-1.2015,4.6108,0.68436,1.0698,4.4243,0.38427,0.3819,0.017206,0.02653,0.0
148,21944.0,1.0,3.0,-1.2681,0.069495,0.21959,0.73387,-1.0365,5.3614,0.23361,0.2264,0.00093918,0.026747,0.0
149,21944.0,3.0,3.0,0.74256,-1.0303,5.3769,-1.1442,0.55105,5.1278,0.071277,0.063985,0.02688,0.044428,0.0
150,22014.0,1.0,3.0,-1.2277,0.32488,-0.091176,-0.11167,1.2651,-1.5754,0.73782,0.73639,0.0012698,0.0088791,0.0
151,22161.0,1.0,3.0,-1.2642,-0.12074,1.2106,1.2699,0.019072,6.8321,0.70706,0.70071,0.004084,0.026749,0.0
152,22161.0,3.0,3.0,-0.674,-0.088173,2.5199,-0.67371,-0.088593,2.5198,0.0010505,0.00099909,0.0093631,0.0093906,1.0
153,22443.0,1.0,3.0,-0.58997,-1.1247,5.2596,0.46485,-1.1819,6.8762,0.65669,0.65534,0.018163,0.025327,0.0
154,22574.0,1.0,3.0,-1.2681,0.068867,-0.29616,1.0951,0.64312,-4.8624,0.34016,0.33399,0.0011576,0.022736,0.0
155,22574.0,3.0,3.0,-0.77461,0.18879,-1.2497,-0.75673,0.22014,-1.2381,0.0036949,0.00098402,0.0056639,0.0069435,1.0
156,22574.0,5.0,3.0,-1.2689,0.053518,-0.28043,1.2504,-0.22224,-4.1374,0.12153,0.11402,0.0010596,0.027381,0.0
157,22574.0,7.0,3.0,0.068471,-0.037038,-2.0553,0.064903,-0.039976,-2.0577,0.0013827,0.00098136,0.013647,0.013911,1.0
158,22660.0,1.0,3.0,-1.2502,-0.2234,0.055729,1.2606,-0.1541,-0.52922,0.56825,0.56604,0.00094588,0.010713,0.0
159,22842.0,1.0,3.0,-1.27,0.0055935,-0.077012,0.79381,0.99134,-2.9166,0.71166,0.70895,0.00052026,0.013908,0.0
160,22842.0,3.0,3.0,0.77142,1.0089,-2.9757,-1.2594,-0.16347,-4.6309,0.37259,0.36805,0.014211,0.025947,0.0
161,22842.0,5.0,3.0,-1.2593,-0.16455,-4.6326,0.84919,-0.94434,-7.3279,0.36,0.35633,0.025959,0.040416,0.0
162,22842.0,7.0,3.0,0.85971,-0.93477,-7.3394,1.1851,0.45664,-8.1658,0.25513,0.25339,0.040504,0.047894,0.0
163,22842.0,9.0,3.0,1.1539,0.32319,-8.0866,1.1591,0.31988,-8.0892,0.0014601,0.0009859,0.047185,0.047526,1.0
164,22842.0,11.0,3.0,-1.0978,-0.22428,-4.8391,-1.0464,-0.15327,-4.8582,0.0043725,0.00099011,0.027066,0.030271,1.0
165,23020.0,1.0,3.0,-1.2698,0.02092,-0.093459,-0.62057,-1.1081,-1.194,0.063316,0.057922,0.00086805,0.013505,0.0
166,23020.0,3.0,3.0,-0.62025,-1.1082,-1.1941,1.1946,-0.43113,-1.4822,0.052598,0.046774,0.013508,0.02939,0.0
167,23020.0,5.0,3.0,-1.225,-0.058835,-0.16076,-1.225,-0.060166,-0.15963,0.0011121,0.00098981,0.0016981,0.0017876,1.0
168,23030.0,1.0,3.0,-1.1478,0.54359,0.13557,0.7185,1.0472,3.1782,0.4341,0.4304,0.0020755,0.016369,0.0
169,23030.0,3.0,3.0,0.72166,1.045,3.1866,0.73591,-1.0351,2.6474,0.39669,0.39485,0.016408,0.025081,0.0
170,23599.0,1.0,3.0,-1.186,-0.45417,-4.0354,1.254,0.20111,1.1138,0.27842,0.27181,0.013766,0.038865,0.0
171,23685.0,1.0,3.0,-1.269,0.051021,0.15051,1.2111,0.38216,2.0623,0.44582,0.44333,0.00070318,0.013127,0.0
172,23685.0,3.0,3.0,-0.79984,0.11366,0.51214,-0.80026,0.11895,0.511,0.0014673,0.00091598,0.0030532,0.0033232,1.0
173,23707.0,1.0,3.0,-1.0735,0.67852,-5.4081,-0.33734,1.2244,-5.5865,0.43319,0.43241,0.018353,0.022056,0.0
174,23777.0,1.0,3.0,-1.237,0.28781,-0.51209,1.1568,0.52424,-3.0508,0.16959,0.16441,0.0023319,0.019994,0.0
175,24361.0,1.0,3.0,0.56056,-1.1396,1.4558,1.0432,0.72427,-1.3497,0.19871,0.19474,0.0095453,0.0259,0.0
176,24821.0,1.0,3.0,-0.74914,1.0255,-0.58724,0.45293,1.1865,-0.23961,0.27497,0.27353,0.0045332,0.010072,0.0
177,25170.0,1.0,3.0,-1.022,0.75388,0.71442,0.98538,0.80121,1.4392,0.29706,0.2943,0.0037825,0.012975,0.0
178,25170.0,3.0,3.0,0.28081,0.78459,1.1848,0.19031,0.59369,1.5017,0.01078,0.00099492,0.0097485,0.018419,1.0
179,25225.0,1.0,3.0,-1.2699,-0.01549,-0.067065,0.1805,-1.2571,-0.6768,0.4581,0.45635,0.00058901,0.0084573,0.0
180,25225.0,3.0,3.0,0.21053,-1.2524,-0.69417,-1.2414,0.26808,-0.53074,0.098862,0.094938,0.0086958,0.02162,0.0
181,25448.0,1.0,3.0,-1.2666,0.093262,0.053595,0.50366,-1.1659,-0.8298,0.33531,0.33285,0.00073713,0.01055,0.0
